time_days,dt_days,newton_iterations,residual_norm,linear_iterations_total,p_min_bar,p_max_bar,sw_min,sw_max,sg_min,sg_max,saturated_cells,oil_rate_m3_day,water_rate_m3_day,free_gas_rate_m3_day,gas_component_rate_sm3_day,water_injection_rate_m3_day,producing_gor_sm3_sm3,recovery_factor,oil_mb_error_relative,water_mb_error_relative,gas_mb_error_relative
0.2,0.2,2,6.777573623347892e-11,4,264.89395131564737,265.10260854381045,0.2099972840250122,0.21000280706987942,0.0,0.0200352895958852,1,1.3168953025075891,0.0013699240942567636,7.345727661109668e-05,209.36556469075109,0.0007578348217126228,158.9842140769156,2.2054208699118944e-06,3.3345809650785274e-12,-4.146012729605349e-14,2.5178646709303907e-12
0.45,0.25,2,4.121061981482815e-12,4,264.3744848449494,265.62475197940444,0.20998346426182798,0.21001655740181724,0.0,0.020074926421862496,1,1.3159765490981798,0.001369493013668422,0.00033099046433159073,209.1953124871269,0.0007603161540764693,158.9658361545162,4.960273647662458e-06,3.995051626870809e-12,-4.7610865674463895e-14,2.7187173290624492e-12
0.5,0.05,1,5.2676232809775385e-08,2,264.18397615632205,265.81654802463277,0.2099783880213448,0.21002160030444916,0.0,0.02008308041043905,1,1.315786559937488,0.0013694037046848746,0.00040691356149987406,209.1601239946929,0.0007608854456107066,158.96204624907395,5.511164658912571e-06,1.7697686979866384e-09,-2.6377166929757606e-11,1.6885952250055238e-09
0.5625,0.0625,2,9.227332897974556e-14,4,263.84584528174366,266.15871765569864,0.20996933236666152,0.21003055110497745,0.0,0.020094892350058798,1,1.3155121083504144,0.0013692747578840897,0.000530772832504955,209.10931287818485,0.0007617406074167116,158.95658546267381,6.199634789390418e-06,1.7697702936610659e-09,-2.6376713671044904e-11,1.6885968121011802e-09
0.640625,0.078125,2,2.1919859668866066e-11,4,263.17725920718266,266.84917827934237,0.20995106064891822,0.21004825012261583,0.0,0.020116602289529606,1,1.3150170928322302,0.0013690432507480344,0.0008012263170960861,209.01778443297027,0.0007631233659819551,158.9468194537276,7.059898620996333e-06,1.7703158344889224e-09,-2.6385515186841842e-11,1.6891329769716107e-09
0.73828125,0.09765625,2,1.7117786985521035e-10,4,261.57911050942613,268.4681494286265,0.20990822621845578,0.2100905598984392,0.0,0.020172160524809305,1,1.313788139336533,0.0013684727573158764,0.0017456168050872416,208.79111641101997,0.0007655452514026084,158.92297255511846,8.134223457555933e-06,1.7735624619102574e-09,-2.6438555989171587e-11,1.692295375287558e-09
0.8,0.06171875,2,1.0045522304030426e-10,4,260.10371169622204,269.89916675638074,0.2098703729938205,0.21012962420233702,0.0,0.020224946924932527,1,1.3126346472448818,0.001367938523649151,0.0029785100852674704,208.57884564531807,0.0007673724419578235,158.9009143428515,8.812600622887949e-06,1.7752699138054188e-09,-2.6463157863502874e-11,1.693969215300578e-09
0.8771484375,0.0771484375,2,0.0012463364923910513,5,254.0024011814914,276.285899514055,0.20970126582785298,0.21029045279057795,0.0,0.02030919337278218,1,2.4199004716075416,0.0024415637608112242,0.005622360341463306,341.3355992230805,0.0007712366200412463,141.05356944549504,1.0375873794292049e-05,3.3385600032761704e-05,-3.4138882254566204e-07,3.284600825458545e-05
0.973583984375,0.096435546875,2,0.006178580217877541,4,229.72166697539896,287.62971408384817,0.2094004326175087,0.21093244976872938,0.0,0.02046562719181246,1,2.422053269132422,0.002443028455017709,0.012730098212658284,341.3839096598955,0.0007704762366654709,140.94814264022318,1.2331703661972026e-05,0.0005221926206366634,-8.893352309696049e-07,0.0005123916032375815
1.0,0.026416015625,2,0.01149712316808794,4,217.4666006465522,298.86288390211934,0.20900315291231336,0.21125835173438764,0.0,0.02052323255272315,1,2.422926443247427,0.00244360666610431,0.016065148910374954,341.4120417585559,0.0007701030834963049,140.90895854888782,1.2867645644421596e-05,0.0007754250828411425,-4.723370245021572e-05,0.0007607885619285538
1.03302001953125,0.03302001953125,2,0.043450706470035565,4,214.31478415580537,296.79305782038176,0.20896079197624223,0.21134218430816662,0.0,0.02053770159772017,1,2.4233311948058676,0.0024438525257404736,0.0169633899848976,341.44144164232637,0.0007698489027423225,140.89755555252495,1.3537685034337733e-05,0.00103091454193229,-9.407847138243331e-05,0.0010114966208823611
1.0742950439453125,0.0412750244140625,2,0.04346460655997803,4,209.30276403183922,289.6078599045467,0.20900410671530056,0.21147563843329906,0.0,0.02056690072558858,1,2.4240527179832596,0.002444295986787016,0.018850042810919922,341.4894342187563,0.0007694419085453128,140.87541565633336,1.4375483643832056e-05,0.0015533205646354128,-0.00014461244224385974,0.001524045227946837
1.1258888244628906,0.051593780517578125,2,0.0377536928066464,4,195.77891113653033,278.75360537100374,0.2090588595150384,0.21183603426792824,0.0,0.02064133653996725,1,2.426026570109704,0.0024454949558786335,0.024106524726636908,341.62849776365846,0.0007680580484464143,140.81811880082176,1.5423584656629535e-05,0.0026284202763599837,-0.00024095133436875362,0.0025787611794367868
1.1903810501098633,0.06449222564697266,2,0.04029336867958914,6,196.96102505608502,278.206770055795,0.20912295130266026,0.2118045115836448,0.0,0.020643501888700434,1,2.4257215929480185,0.0024453330874195122,0.024269036108322487,341.5890690345802,0.0007684500366716045,140.81956891822918,1.6733546225918203e-05,0.0026294433458090003,-0.00024095162592567792,0.002579986576126408
1.2,0.00961894989013672,2,1.0996538797064857e-07,4,193.27287876712668,281.28699357365025,0.20897387962607572,0.21190328518967785,0.0,0.020669319304446283,1,2.4263173426048437,0.0024456992969921396,0.026248421804862,341.62685219941403,0.0007680795501609609,140.80056479036273,1.6928973646803824e-05,0.002629444196524792,-0.00024095163970703348,0.0025799874897492374
1.2120236873626709,0.012023687362670898,2,4.4179340139950525e-07,4,187.83439828753072,290.6423113317515,0.20873743730513694,0.21204889927408063,0.0,0.02070295167922972,2,2.427186846871255,0.0024462258509768643,0.028942486820386044,341.687436029113,0.0014875244313152386,140.7750855561706,1.7173345465548644e-05,0.0011964741721447278,-0.0002409516709276814,0.002598710280202002
1.2270532965660095,0.015029609203338623,2,0.013844997619767407,4,191.1848454789156,300.8116318890845,0.20841607133851156,0.21196399558077791,0.0,0.0207470802015774,2,2.4285449353948554,0.002447032050344668,0.0326753651170779,341.79325050736037,0.0014893578656187706,140.73993259333636,1.7478981156271712e-05,0.0013708691356410113,-0.00026963361881276944,0.0027596957089965134
1.2458403080701828,0.01878701150417328,2,0.05739978236400986,4,193.85566541464792,311.7642748867533,0.20812347675072318,0.2118960144979537,0.0,0.020776987769847072,2,2.4297662136113085,0.002447739194938095,0.03533292375220887,341.90123743345475,0.0014905707046824932,140.71363554162454,1.786121789408604e-05,0.0019181999387836639,-0.00036741426844531084,0.0032874726682421093
1.2693240724503994,0.0234837643802166,2,0.04717216002437992,4,198.0259607095269,305.66905834662776,0.20795420362924114,0.2117898632941864,0.0,0.020833170768403877,1,2.4323326190307526,0.002449209268517965,0.04060374604339552,342.1371278753413,0.0014930431800750283,140.66214677977626,1.8339518481386095e-05,0.002447461453544721,-0.00048093485150808597,0.004038669268734416
1.29867877792567,0.029354705475270748,2,0.05498744423213355,4,190.03311238453117,306.42696211927694,0.20772988283441335,0.21200319764759015,0.0,0.033177606488997397,2,2.434833531515937,0.0024506163920404093,0.044808039417325946,342.3833330240405,0.001495139489549683,140.61878505955656,1.893800894841256e-05,0.0007392265642466139,-0.0005914240396944169,0.004656435399899591
1.3353721597697585,0.036693381844088435,2,0.05394467270703848,4,196.4239259504842,318.1208925609174,0.20711002524262143,0.21184075972101177,0.0,0.02096393251672895,2,2.441880220421829,0.0024545086300802477,0.05427530615793367,343.1169421695505,0.0015008770560889179,140.5134204782075,1.9688287157695854e-05,0.0020402211638704806,-0.0007846170017874724,0.005900963972003632
1.381238887074869,0.045866727305110544,2,0.06079038306755334,4,199.9271775934465,312.5726393259877,0.20750577943868756,0.21175166321641903,0.0,0.021041117807027557,2,2.44924784349147,0.0024585182941646386,0.06326465954990555,343.90434519508784,0.001503466841479984,140.41222741461834,2.06289645866794e-05,0.004033466620559875,-0.0011464885366479322,0.007832976332738937
1.4385722962062573,0.05733340913138818,2,0.04515965755931761,4,205.20089791639725,309.6950251797998,0.2066186091603086,0.21161611039648323,0.0,0.021059668432073318,2,2.4568332948662768,0.002462533289486332,0.06552624182480439,344.79079836696064,0.0015053095002549074,140.33951716928652,2.180845303320257e-05,0.004400985314945223,-0.001201531149397503,0.008064204949400801
1.5,0.0614277037937427,2,0.057754512161351836,4,206.52932517447155,300.93888962183325,0.2066760098045308,0.21155274955974873,0.0,0.021122890824256484,1,2.474799674549218,0.0024719477802576583,0.073528057623403,346.86508838683335,0.0015221462633513354,140.15885485762175,2.308141247739217e-05,0.005778895948976372,-0.0015055299224481474,0.010557131539207095
