step,dt_days,name,requested_control,target,active_type,active_control,bhp,bhp_bar
20,0.036693381844088435,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
20,0.036693381844088435,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
20,0.036693381844088435,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
20,0.036693381844088435,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
21,0.045866727305110544,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
21,0.045866727305110544,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
21,0.045866727305110544,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
21,0.045866727305110544,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
22,0.05733340913138818,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
22,0.05733340913138818,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
22,0.05733340913138818,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
22,0.05733340913138818,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
23,0.0614277037937427,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
23,0.0614277037937427,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
23,0.0614277037937427,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
23,0.0614277037937427,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
24,0.07678462974217837,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
24,0.07678462974217837,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
24,0.07678462974217837,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
24,0.07678462974217837,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
25,0.02321537025782163,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
25,0.02321537025782163,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
25,0.02321537025782163,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
25,0.02321537025782163,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
26,0.02901921282227704,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
26,0.02901921282227704,PROD_NE,bhp,15500000.0,BHPWell,bhp,15500000.0,155.0
26,0.02901921282227704,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
26,0.02901921282227704,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
27,0.0362740160278463,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
27,0.0362740160278463,PROD_NE,bhp,15500000.0,BHPWell,bhp,15500000.0,155.0
27,0.0362740160278463,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
27,0.0362740160278463,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
28,0.045342520034807876,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
28,0.045342520034807876,PROD_NE,bhp,15500000.0,BHPWell,bhp,15500000.0,155.0
28,0.045342520034807876,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
