time_days,dt_days,newton_iterations,residual_norm,p_min_bar,p_max_bar,sw_min,sw_max,sg_min,sg_max,so_min,so_max,rs_min_sm3_sm3,rs_max_sm3_sm3,saturated_cells,undersaturated_cells,switched_to_saturated,switched_to_undersaturated,oil_rate_m3_day,water_prod_rate_m3_day,free_gas_rate_sm3_day,gas_component_rate_sm3_day,water_inj_rate_m3_day,producing_gor_sm3_sm3,cumulative_oil_m3,cumulative_water_prod_m3,cumulative_free_gas_sm3,cumulative_gas_component_sm3,cumulative_water_inj_m3,recovery_factor,water_cut,oil_mb_error_m3,water_mb_error_m3,gas_mb_error_sm3,oil_mb_error_relative,water_mb_error_relative,gas_mb_error_relative
1.0,1.0,1,3.313339874005853e-06,277.2145532790726,282.84726583175745,0.20492974718181745,0.2050687275068804,0.0,0.0,0.7949312724931196,0.7950702528181826,155.0,155.0,0,12,0,0,16.010978584407173,0.009520408635131676,0.0,2481.7016805831117,0.0,155.0,16.010978584407173,0.009520408635131676,0.0,2481.7016805831117,0.0,0.00012204157179118129,0.0005942641761200063,0.08526018878565722,-0.0006840990795296282,13.21532926445434,6.49884539896143e-07,-1.5167944419758198e-08,6.498845400278118e-07
2.25,1.25,1,1.4926212386075395e-05,277.4286963302248,286.1164693259409,0.20484904338027737,0.20506342785286183,0.0,0.0,0.7949365721471382,0.7951509566197226,155.0,155.0,0,12,0,0,17.15926169738777,0.009793428009208401,0.0,2659.6855630951045,0.0,155.0,37.46005570614189,0.021762193646642176,0.0,5806.3086344519925,0.0,0.0002855343321872314,0.0005704115886215352,0.5009079810913164,-0.003772210387618484,77.6407370748293,3.818104996696867e-06,-8.363799807825009e-08,3.818104996975958e-06
3.8125,1.5625,1,0.00010413335217877411,269.45543201988454,287.5346981872338,0.20481416811699665,0.2052600922883178,0.0,0.0,0.7947399077116822,0.7951858318830034,155.0,155.0,0,12,0,0,16.9712706399573,0.009750489273872842,0.0,2630.546949193382,0.0,155.0,63.97766608107517,0.03699733313706849,0.0,9916.53824256665,0.0,0.00048766131856985796,0.0005741992309925536,19.224235236906992,-0.010745883958489577,2979.756461716508,0.00014653419667180268,-2.382593040990664e-07,0.00014653419667160227
5.765625,1.953125,1,0.00023328864368865127,261.79361328876047,305.1338903786923,0.20438002823592397,0.20544984363440538,0.0,0.0,0.7945501563655946,0.7956199717640761,155.0,155.0,0,12,0,0,19.853890279330447,0.01038036193485226,0.0,3077.352993296219,0.0,155.0,102.75479553289244,0.05727147754107681,0.0,15926.993307598328,0.0,0.0007832348716104395,0.0005225644637205294,80.11190863947616,-2.9867684664638308,12417.34583911339,0.0006106424537395126,-6.622306541496777e-05,0.0006106424537392465
8.20703125,2.44140625,1,0.0009657243230757277,265.88970473695247,299.7189794836027,0.20442419813936724,0.20534831111441068,0.0,0.0,0.7946516888855893,0.7955758018606327,155.0,155.0,0,12,0,0,19.307895900028534,0.010148982954752315,0.0,2992.7238645044226,0.0,155.0,149.8932132575715,0.08204926795795259,0.0,23233.448054923578,0.0,0.0011425412413330067,0.0005253628416451328,155.60261461522853,-4.818439646738373,24118.40526536004,0.0011860087857860837,-0.00010683514557853111,0.0011860087857860648
11.2587890625,3.0517578125,1,0.000858364897070991,265.4312836195435,300.1942628745479,0.20441250946546263,0.20535966752992985,0.0,0.0,0.7946403324700702,0.7955874905345374,155.0,155.0,0,12,0,0,19.373589413070317,0.010162824744068337,0.0,3002.906359025899,0.0,155.0,209.0167161050761,0.11306374776773145,0.0,32397.590996286795,0.0,0.0015932023411071908,0.0005242960505986248,215.19622780405763,-4.845880386471841,33355.41530962937,0.0016402275948746747,-0.00010744356565621998,0.0016402275948746961
15.073486328125,3.814697265625,1,0.0008641956026118218,273.80034648669584,289.3918477081287,0.20450062452955556,0.2051529094532376,0.0,0.0,0.7948470905467624,0.7954993754704445,155.0,155.0,0,12,0,0,17.672786768967296,0.009648789739963842,0.0,2739.2819491899304,0.0,154.99999999999997,276.43304746862935,0.14987095960536206,0.0,42847.12235763754,0.0,0.002107074432099547,0.0005456708555746747,330.07389372252595,-7.99974404279779,51161.45352699693,0.0025149164307955024,-0.00017737148995563504,0.0025149164307957674
19.84185791015625,4.76837158203125,1,0.0005124012856789946,245.97381435787506,306.4920281251261,0.20434349655681686,0.20569245769873493,0.0,0.01808946974101529,0.7763424182067795,0.7956565034431832,150.90638346609504,155.0,3,9,3,0,10.973478846918152,0.008070307982487875,0.0,1655.968006830113,0.0,150.90638346609504,328.7586721582949,0.18835318684729718,0.0,50743.393142159184,0.0,0.0025059196025191337,0.0007348970412691191,291.3711334821448,-11.529799107633817,122387.30439975401,0.0022209380218252083,-0.00025564038495098316,0.005997457362056868
25.802322387695312,5.9604644775390625,1,0.0009965390045168728,264.4886764590388,312.9711954665575,0.2042906765183255,0.20521973370243632,0.0,0.0,0.7947802662975637,0.7957093234816746,155.0,162.33525875785477,0,12,0,3,14.087633851680437,0.008792310449452851,0.0,2237.052446887267,0.0,158.79547058361553,412.727513303813,0.24075944095675642,0.0,64077.26478622258,0.0,0.003145961015407106,0.0006237262089219062,39.51771834644762,-14.834761044719196,184403.46440272554,0.0003012185941775301,-0.00032891848233651885,0.009014985791564357
31.802322387695312,6.0,1,0.00043305435609995567,278.2977378998047,281.1519442086881,0.2045521787191868,0.2050410794152155,0.0,0.0,0.7949589205847845,0.7954478212808131,155.0,162.33525875785477,0,12,0,0,16.443007827389682,0.009379495118506706,0.0,2611.0751657604183,0.0,158.79547058361553,511.3855602681511,0.29703641166779665,0.0,79743.71578078509,0.0,0.003897968961573616,0.0005700993378434996,555.3576656163427,-44.666919525416596,263835.0553869286,0.004231722179992934,-0.0009903614447620208,0.012858098466013861
37.80232238769531,6.0,1,6.0820108358315144e-06,276.3715020833083,285.2513964276455,0.20444106248922847,0.20500653148070197,0.0,0.0,0.7949934685192981,0.7955589375107716,155.0,162.33525875785477,0,12,0,0,15.761212369804733,0.009215708943056442,0.0,2502.8091352314445,0.0,158.79547058361553,605.9528344869796,0.35233066532613533,0.0,94760.57059217375,0.0,0.004618795532218911,0.0005843664418644108,555.7557965093474,-44.66962934131503,264459.410934796,0.004236175233168734,-0.0009904215271947635,0.012897573327473915
