time_days,dt_days,newton_iterations,residual_norm,p_min_bar,p_max_bar,sw_min,sw_max,sg_min,sg_max,so_min,so_max,rs_min_sm3_sm3,rs_max_sm3_sm3,saturated_cells,undersaturated_cells,switched_to_saturated,switched_to_undersaturated,oil_rate_m3_day,water_prod_rate_m3_day,free_gas_rate_sm3_day,gas_component_rate_sm3_day,producing_gor_sm3_sm3,recovery_factor,oil_mb_error_relative,water_mb_error_relative,gas_mb_error_relative
1.0,1.0,2,2.838645379024631e-13,279.50335230645544,280.43234937452706,0.20498933260105806,0.20501210321428912,0.0,0.02531903380066114,0.7696688629850498,0.7950106673989419,154.99999999999997,164.3370299618847,2,4,0,0,7.18280903038134,0.004649123017689752,8.72956244976892,1188.5845158937905,165.47627966529518,0.00011065998621327184,2.6773052640015984e-14,-1.2538501613091662e-15,-6.12228826297769e-14
2.25,1.25,2,5.279361736523129e-13,279.57795368576893,281.1966219207038,0.20497047684503558,0.20501028406362576,0.0,0.025271029689180862,0.7697186862471934,0.7950295231549644,154.99999999999997,164.40080725290687,2,4,0,0,7.188909006120241,0.0046504640181587046,8.576794032362626,1189.583899924705,165.47488623266185,0.0002491024409933025,4.518487058353023e-14,-3.103052310632044e-15,-1.3600260349509888e-12
3.8125,1.5625,2,1.3343664976877605e-12,280.2904260667598,282.47292496315004,0.2049389919597752,0.20499291782061962,0.0,0.02481374839373559,0.7701933337856448,0.7950610080402248,155.0,164.63098345397515,2,4,0,0,7.2473511313045025,0.004663248329000481,7.185830797153343,1199.2397062949913,165.4728306339328,0.0004235623417265776,2.6433874789385967e-13,-1.2360062651802538e-14,-4.185584744577657e-12
5.765625,1.953125,2,1.1799880933510788e-11,281.75591155024546,284.3413001421552,0.20489290896356993,0.2049571948848936,0.0,0.023878797628778335,0.7711640074863281,0.7951070910364301,154.99999999999997,165.0635654031594,2,4,0,0,7.3686499201737945,0.004689395224717647,4.7093468016033615,1219.7382289794486,165.53076102042317,0.0006452871330194591,4.048355692926115e-12,-8.220953075173225e-14,1.7034806756074578e-11
7.765625,2.0,2,2.7780896810377473e-11,283.6120574594212,286.4232454330571,0.20484156856333757,0.20491194441059915,0.0,0.02270566378141909,0.7723823918079817,0.7951584314366624,154.99999999999997,165.59575519541707,2,4,0,0,7.5244070764172,0.004722224341138771,2.318653304102718,1246.9411820653568,165.7195270539638,0.0008771325795063376,1.4305409929593109e-11,-2.896677223859983e-13,6.294859101131112e-11
8.0,0.234375,2,6.2657111701108575e-12,283.83336645469035,286.68185324577934,0.20483519192432234,0.20490654909045142,0.0,0.022566587830289885,0.7725268630792588,0.7951648080756777,154.99999999999994,165.65817554457902,2,4,0,0,7.543138726070126,0.0047261172516559384,2.0893440366643645,1250.277722790159,165.7503286356152,0.0009043696046523231,1.4547699667853397e-11,-2.9620231926648015e-13,6.276215453951032e-11
