time_days,dt_days,newton_iterations,residual_norm,linear_solver,preconditioner,linear_iterations_total,jacobian_nnz_last,jacobian_colors,p_min_bar,p_max_bar,sw_min,sw_max,sg_min,sg_max,saturated_cells,oil_rate_m3_day,water_rate_m3_day,water_injection_rate_m3_day,producing_gor_sm3_sm3,recovery_factor,oil_mb_error_relative,water_mb_error_relative,gas_mb_error_relative
0.25,0.25,2,1.1591350514645073e-08,gmres,ilu,4,758,18,269.52833740022,270.7081227621478,0.21498071960207082,0.21501284336522336,0.0,0.025065601839721598,3,1.6133673560710513,0.0024847439837339205,0.0012027212532271009,162.14832066911742,2.144064999446016e-06,2.974129493442836e-10,-4.473193295520949e-12,2.871184179757883e-10
0.5625,0.3125,2,2.577657406501528e-09,gmres,ilu,4,757,18,266.5268763829827,272.0924306422979,0.21494303973129816,0.21509457674886182,0.0,0.025091576280617377,3,1.6126655247924033,0.002484288857335741,0.0011784360183456145,162.1480588694113,4.822980386036031e-06,4.2682086958878e-10,-6.679132381784318e-12,3.661005528353386e-10
0.953125,0.390625,2,2.4177075764518215e-06,gmres,ilu,4,759,18,264.23533279172204,277.76353548711995,0.21478916515770582,0.21515691650119306,0.0,0.025466290792852807,3,1.603474900091729,0.002478479048330544,0.0011914362514924958,162.17239891523857,8.152540604683653e-06,1.5501805164767243e-07,-2.5921587187169547e-09,1.4972774358949641e-07
1.44140625,0.48828125,2,3.9864763762393936e-05,gmres,ilu,4,757,18,258.13639176187047,279.6193220122184,0.21473897328721275,0.21532330876629632,0.0,0.025505960793469284,3,1.6023763714735888,0.0024777574304082196,0.0013604157461142032,162.1728392155907,1.2311639557101131e-05,6.907454620923096e-06,-1.906071999420417e-08,6.4566645159441974e-06
2.0517578125,0.6103515625,2,0.0004294415461334363,gmres,ilu,4,754,18,247.95750403848785,300.945240757845,0.2141716180776241,0.21560194065854557,0.0,0.02196467715175617,3,1.688596183089324,0.0025301862125937315,0.0007046746756701888,162.3919679436932,1.779025146530437e-05,0.00019966449613324408,-2.8153616156875336e-07,0.00019241573155270042
2.8017578125,0.75,2,0.00547820380105078,gmres,ilu,4,760,18,190.58417584226456,325.01191116692434,0.2135108919004329,0.21718562803074865,0.0,0.03885661355418742,5,1.5754490359298092,0.002459623595372523,0.0016836576521194965,162.2005663187823,2.4071273187302038e-05,0.0024926746760623357,-0.00032990211132360623,0.004025457968592164
3.0,0.1982421875,4,0.007824665766292746,gmres,ilu,8,762,18,198.00110011215892,301.78536494084494,0.21381879335499104,0.21699733262755522,0.0,0.03675964390752328,4,1.0032631166213397,0.00161923231034759,0.0017965986947400796,163.35966273388277,2.5128518092156478e-05,0.0034111501168315158,-0.00048093066744427413,0.005509622915294953
