time_days,dt_days,newton_iterations,residual_norm,p_min_bar,p_max_bar,sw_min,sw_max,sg_min,sg_max,so_min,so_max,rs_min_sm3_sm3,rs_max_sm3_sm3,saturated_cells,undersaturated_cells,switched_to_saturated,switched_to_undersaturated,oil_rate_m3_day,water_prod_rate_m3_day,water_injection_rate_m3_day,gas_component_rate_sm3_day,producing_gor_sm3_sm3,recovery_factor,oil_mb_error_relative,water_mb_error_relative,gas_mb_error_relative
0.35,0.35,2,6.570903587622466e-12,284.43098384504293,285.78276650013316,0.21497953559843375,0.2150148045400064,0.0,0.028109160595507388,0.7568863023010475,0.7850204644015663,144.99999999999983,165.8725100064058,3,4,0,0,2.7258104132415943,0.004056649997131002,0.0013418216443504927,459.61636717665186,168.61641035044175,1.1728012138843259e-05,2.688380219513988e-13,-2.4824305247606417e-15,-5.534762947408604e-14
0.7874999999999999,0.4374999999999999,2,0.0001324281976094317,272.9869152320602,297.59011688017716,0.21467234362334658,0.21531324262762194,0.0,0.030867368061195815,0.7540192346553093,0.7853276563766534,144.9999999995069,165.65951894096182,3,4,0,0,2.701794623140731,0.004042385852716108,0.0011128362942913745,455.96158727404264,168.76248970545552,2.625886504726941e-05,4.5105811505839614e-05,-2.9442618195070032e-08,3.932444277087429e-05
1.3343749999999996,0.5468749999999999,2,0.003093614248523161,270.44280699517685,300.11970695399293,0.21460664970268212,0.21538000088223722,0.0,0.03153150145029807,0.753329093101464,0.7853933502973178,144.9999999995466,165.58164300527721,3,4,0,0,2.693050215521733,0.004037144097360234,0.001064646275574272,454.6470917420419,168.82235953924155,4.4363644469428936e-05,8.109683552555744e-05,1.767429529441335e-08,7.413651262101294e-05
2.0179687499999996,0.6835937499999999,2,0.0028346911108042046,254.288457545176,306.1006771772856,0.21444893612551086,0.21579609655358675,0.0,0.026369063085132222,0.7586949736568223,0.7855510638744891,144.82401553958653,168.05765079358386,3,4,0,0,2.799297139487029,0.0040996351176856355,0.001984821275363058,471.14408163451037,168.30799238441955,6.788746188443223e-05,0.0021667250000979073,-6.98197919277974e-05,0.0018383878295436802
2.872460937499999,0.8544921874999998,2,0.003562593276972861,242.02047386409052,295.90248940208716,0.21470264452198248,0.21582360804513773,0.0,0.037878529020074166,0.7467220146978376,0.7852973554780175,145.00000049126334,164.69571162029683,3,4,0,0,2.5956331962774235,0.003977366084042752,0.001144086453688236,440.4450464698196,169.686936929876,9.515287814028771e-05,0.005556521227141904,-0.0003940798096409669,0.003987197285156242
3.406518554687499,0.5340576171874999,2,0.005265543571880617,220.26985317182422,300.5909521539083,0.2142683328804422,0.21638781874316584,0.0,0.04922694232447039,0.7350781554582466,0.7857316671195578,137.16191190309453,163.30690343547644,5,2,2,0,2.447659634501776,0.00388221019809992,0.0010320446509984437,421.0574810859763,172.02452299773415,0.00011122228532844929,-0.005181885248786097,-0.0006009222365528069,0.0048757995183005874
3.940576171874999,0.5340576171874999,3,0.0053767800763763465,232.44967663978707,317.5788772191578,0.21382298558294313,0.21608824844221147,0.0,0.05288504192592699,0.7313182997419587,0.7861770144170569,143.87383185268928,161.58967206586732,5,2,0,0,2.302958890983784,0.003792051445195813,0.0007173688222508579,406.51811119336475,176.51991652343708,0.00012634170129428407,-0.0027816002445270774,-0.0007920751279592988,0.006981047927102694
4.608148193359375,0.6675720214843749,5,0.0059192197946178636,239.85642967104326,296.9418183347501,0.21364038252969514,0.21590527293055795,0.0,0.05307473008314822,0.7311223900151134,0.7863596174703049,145.00000053847756,160.26130209767658,5,2,0,0,2.2003644635798385,0.0037264398358879164,0.0010455151042488772,399.0199242847704,181.34265067869396,0.00014439902839831503,-0.00236123237721073,-0.0010698391346705015,0.010166936943241129
5.442613220214843,0.8344650268554685,2,0.004925496274541771,244.5792257737216,275.94220768797754,0.21360751430809544,0.21579665947122886,0.0,0.05283503427372373,0.7313683062550475,0.7863924856919046,145.0000005557858,159.0510166066252,5,2,0,0,2.1101365517488944,0.003666100041549979,0.0013730058374626082,394.200001288072,186.81255531134065,0.0001660451162281865,-0.000845155529926095,-0.0014470021310602809,0.01314312945251285
6.485694503784178,1.0430812835693357,2,0.00230585850763518,255.57798691661586,291.296804121015,0.21304943399693368,0.21571684023939874,0.0,0.04970110943426331,0.7345820503263379,0.7869505660030663,145.0000005603837,158.1087384223419,3,4,0,2,2.029593596390986,0.0036100786323787445,0.0010879195727596807,391.3801703772907,192.8367191704,0.00019206994931897167,-0.0021514561505575677,-0.0015531159472920461,0.015973155769517723
