time_days,dt_days,newton_iterations,residual_norm,p_min_bar,p_max_bar,sw_min,sw_max,oil_rate_m3_day,water_prod_rate_m3_day,water_inj_rate_m3_day,cumulative_oil_m3,cumulative_water_prod_m3,cumulative_water_inj_m3,recovery_factor,water_cut,oil_mb_error_m3,water_mb_error_m3,oil_mb_error_relative,water_mb_error_relative
10.0,10.0,2,2.754674620415239e-09,229.73651264177144,271.8943234941908,0.19484225762214022,0.213281339760149,33.36029347783647,0.013367329237423736,17.28,333.60293477836467,0.13367329237423736,172.8,0.0013103235478211918,0.0004005352998191434,1.5169253401836613e-05,-3.4990264226597567e-06,5.95816998687336e-11,-4.8005650500403015e-11
23.5,13.5,2,5.788339249317972e-10,219.01738541580974,275.42006926259523,0.1947899580523699,0.2379783691807531,26.7915065219837,0.011043529005331102,17.28,695.2882728251445,0.28276093394620727,406.08000000000004,0.002730948985841467,0.0004120327724161302,1.63038660048187e-05,-4.23348271272328e-06,6.403822424652377e-11,-5.789699959744449e-11
41.725,18.225,2,9.826089032611642e-10,213.35305515672002,274.50541412539445,0.1948115554868764,0.2707040288501257,23.327411614980765,0.00975933831364853,17.28,1120.430349508169,0.4606248747124517,721.008,0.004400819410145355,0.0004181885770636155,1.7734927951096324e-05,-5.3540725695189195e-06,6.965914052486582e-11,-7.290832242381778e-11
66.32875,24.60375,2,4.098821657190527e-09,209.73537167464477,271.0314543116352,0.19488845851583836,0.31242128063439045,21.11752251859243,0.008918473265065813,17.28,1640.0005941749873,0.6800527613078147,1146.1608,0.006441584209730992,0.00042214745344486325,1.029213626679848e-05,6.382002710747514e-07,4.042538929320341e-11,8.640602917081929e-12
90.9325,24.60375,2,1.1131328357627825e-08,207.47641637376984,267.49358413641494,0.194954146334581,0.35030355746764813,19.7386222124809,0.00838519104651895,17.28,2125.6447204353144,0.8863599055186053,1571.3136000000002,0.008349094210872697,0.0004246309769966005,-8.813952263153624e-06,1.599020596887435e-05,-3.461938728882873e-11,2.1525320675084242e-10
115.53625,24.60375,2,9.821349764172807e-09,205.82784881281745,264.39953826294305,0.19500800533231255,0.38356345994238006,18.732802030586427,0.007991976348577108,17.28,2586.541898395355,1.0829924936049093,1996.4664000000002,0.010159403301248668,0.0004264481187733929,-2.4530965674784966e-05,2.864580685413287e-05,-9.635257554259601e-11,3.834240024345845e-10
148.7513125,33.2150625,2,1.490385881725897e-08,204.20293532491297,261.1247052432373,0.19506730960716737,0.42024831641055166,17.74181851775907,0.007601058193062317,17.28,3175.83750932638,1.3354621165536114,2570.4226800000006,0.012474034964017467,0.00042824263410622387,-4.540496820482076e-05,4.549838926637406e-05,-1.7834135382045093e-10,6.043548907930203e-10
183.7513125,35.0,2,7.697316951745426e-10,202.93162306186014,258.51417256902346,0.19512489184466572,0.4511961444099275,16.96676565090462,0.007292881166010727,17.28,3769.674307108042,1.5907129573639869,3175.2226800000008,0.014806503472464493,0.00042964864014293484,-4.638673271983862e-05,4.634723304852706e-05,-1.8219752242189867e-10,6.107258493770566e-10
218.75131249999998,35.0,2,6.47003209914974e-09,201.97896646835315,256.568721514427,0.19516343430210906,0.47616335790441594,16.386142229320313,0.007060599120707619,17.28,4343.189285134253,1.8378339265887536,3780.022680000001,0.017059152062726936,0.00043070284645401873,-5.151727600605227e-05,5.051326894145447e-05,-2.02349238669563e-10,6.603618138607744e-10
253.75131249999998,35.0,2,1.351929933205934e-08,201.26340135064945,255.1224443424461,0.19518933501253205,0.4966197650350862,15.950112387356874,0.006885356264263065,17.28,4901.443218691744,2.0788213958379607,4384.822680000001,0.01925185841673479,0.00043149446875215036,-6.793014108552597e-05,6.374437850587e-05,-2.668155888086424e-10,8.26798059310993e-10
